ItemType,ItemName,BrushID,Icon,IconSrc,DisplayName,Value,Rarity,Capacity,MaxStackSize,LootGenMin,LootGenMax
InventoryDefinition_Map,ID_Map_M03_Cave03a,Map.Epic,T_UI_Map_Epic,Smart Brush,Third Cave Location,142,Rarity.Uncommon,,,,
InventoryDefinition_Map,ID_Map_M03_Cave02a,Map.Epic,T_UI_Map_Epic,Smart Brush,Second Cave Location,142,Rarity.Uncommon,,,,
InventoryDefinition_Map,ID_Map_M03_Cave01a,Map.Epic,T_UI_Map_Epic,Smart Brush,First Cave Location,142,Rarity.Uncommon,,,,
InventoryDefinition_Map,ID_Map_Epic_M03_01a_U,Map.Epic,T_UI_Map_Epic,Smart Brush,Sombre Forest Map,142,Rarity.Uncommon,,,,
InventoryDefinition_Map,ID_Map_Epic_M02_01a,Map.Epic,T_UI_Map_Epic,Smart Brush,Jacques Bridge Map,117,Rarity.Uncommon,,,,
InventoryDefinition_Map,ID_Map_Epic_M01_01a_U,Map.Epic,T_UI_Map_Epic,Smart Brush,Sarlat Farm Map,88,Rarity.Uncommon,,,,
InventoryDefinition_Map,ID_Def_Map_Test,Recipe.Epic,T_UI_Item_Recipe_Epic,Smart Brush,Test Map,,,,,,
InventoryDefinition_LoreItem,ID_Lore_Uncommon_Note15,Lore.Epic,T_UI_Lore_Epic,Smart Brush,Easy Slags in Sarlat,58,Rarity.Uncommon,,,,
InventoryDefinition_LoreItem,ID_Lore_Uncommon_Note14,Lore.Epic,T_UI_Lore_Epic,Smart Brush,Handfuls of Buds,58,Rarity.Uncommon,,,,
InventoryDefinition_LoreItem,ID_Lore_Uncommon_Note13,Lore.Epic,T_UI_Lore_Epic,Smart Brush,Apprentice Materials,60,Rarity.Uncommon,,,,
InventoryDefinition_LoreItem,ID_Lore_Uncommon_Note12,Lore.Epic,T_UI_Lore_Epic,Smart Brush,Cloves For Oil,57,Rarity.Uncommon,,,,
InventoryDefinition_LoreItem,ID_Lore_Uncommon_Note11,Lore.Epic,T_UI_Lore_Epic,Smart Brush,And Rosemary Too,56,Rarity.Uncommon,,,,
InventoryDefinition_LoreItem,ID_Lore_Uncommon_Note10,Lore.Epic,T_UI_Lore_Epic,Smart Brush,Flax Along the Rivers,53,Rarity.Uncommon,,,,
InventoryDefinition_LoreItem,ID_Lore_Uncommon_Note09,Lore.Epic,T_UI_Lore_Epic,Smart Brush,Copper Deposits near Jacques Bridge,55,Rarity.Uncommon,,,,
InventoryDefinition_LoreItem,ID_Lore_Uncommon_Note08,Lore.Epic,T_UI_Lore_Epic,Smart Brush,Grotesquerie - Cherub,55,Rarity.Uncommon,,,,
InventoryDefinition_LoreItem,ID_Lore_Uncommon_Note07,Lore.Epic,T_UI_Lore_Epic,Smart Brush,Grotesquerie - Dreg,55,Rarity.Uncommon,,,,
InventoryDefinition_LoreItem,ID_Lore_Uncommon_Note06,Lore.Epic,T_UI_Lore_Epic,Smart Brush,Grotesquerie - Waif,55,Rarity.Uncommon,,,,
InventoryDefinition_LoreItem,ID_Lore_Uncommon_Note05,Lore.Epic,T_UI_Lore_Epic,Smart Brush,Accursed Clout,55,Rarity.Uncommon,,,,
InventoryDefinition_LoreItem,ID_Lore_Uncommon_Note04,Lore.Epic,T_UI_Lore_Epic,Smart Brush,Poor Grandpapa,44,Rarity.Uncommon,,,,
InventoryDefinition_LoreItem,ID_Lore_Uncommon_Note03_U,Lore.Epic,T_UI_Lore_Epic,Smart Brush,The Stone Shield,72,Rarity.Uncommon,,,,
InventoryDefinition_LoreItem,ID_Lore_Uncommon_Note02,Lore.Epic,T_UI_Lore_Epic,Smart Brush,The Torturer's Apology,59,Rarity.Uncommon,,,,
InventoryDefinition_LoreItem,ID_Lore_Uncommon_Note01,Lore.Epic,T_UI_Lore_Epic,Smart Brush,"Verily, Shake It",67,Rarity.Uncommon,,,,
InventoryDefinition_LoreItem,ID_Lore_Rare_Note13,Lore.Epic,T_UI_Lore_Epic,Smart Brush,Annette's Letter,8,Rarity.Rare,,,,
InventoryDefinition_LoreItem,ID_Lore_Rare_Note12,Lore.Epic,T_UI_Lore_Epic,Smart Brush,Sarlat's Whale,161,Rarity.Rare,,,,
InventoryDefinition_LoreItem,ID_Lore_Rare_Note11,Lore.Epic,T_UI_Lore_Epic,Smart Brush,The Company of One Dutchman,255,Rarity.Rare,,,,
