TableName,Weight,WeightSum,WeightPercent,ObjectName
LIT_Workbench,100.0,1702.2500000037253,5.8746,ID_Common_Whetstone
LIT_Workbench,100.0,1702.2500000037253,5.8746,ID_Common_SpindlePulley
LIT_Workbench,100.0,1702.2500000037253,5.8746,ID_Common_Saltpetre
LIT_Workbench,100.0,1702.2500000037253,5.8746,ID_Common_RustedKeyring
LIT_Workbench,100.0,1702.2500000037253,5.8746,ID_Common_PineOil
LIT_Workbench,100.0,1702.2500000037253,5.8746,ID_Common_OldHorseshoe
LIT_Workbench,100.0,1702.2500000037253,5.8746,ID_Common_OldGunpowder
LIT_Workbench,100.0,1702.2500000037253,5.8746,ID_Common_LeadOre
LIT_Workbench,100.0,1702.2500000037253,5.8746,ID_Common_LatchHook
LIT_Workbench,100.0,1702.2500000037253,5.8746,ID_Common_IronNails
LIT_Workbench,100.0,1702.2500000037253,5.8746,ID_Common_ChippedFlint
LIT_Workbench,100.0,1702.2500000037253,5.8746,ID_Common_Chalkstone
LIT_Workbench,100.0,1702.2500000037253,5.8746,ID_Common_Brassplate
LIT_Workbench,100.0,1702.2500000037253,5.8746,ID_Common_BoiledLeather
LIT_Workbench,50.0,1702.2500000037253,2.9373,ID_Common_SharpScrews
LIT_Workbench,50.0,1702.2500000037253,2.9373,ID_Common_LeadBar
LIT_Workbench,25.0,1702.2500000037253,1.4686,ID_Uncommon_TentPeg
LIT_Workbench,25.0,1702.2500000037253,1.4686,ID_Uncommon_TannedHide
LIT_Workbench,25.0,1702.2500000037253,1.4686,ID_Uncommon_IronFile
LIT_Workbench,25.0,1702.2500000037253,1.4686,ID_Uncommon_IntactLeatherGasket
LIT_Workbench,25.0,1702.2500000037253,1.4686,ID_Uncommon_CopperOre
LIT_Workbench,25.0,1702.2500000037253,1.4686,ID_Uncommon_BeltStrap
LIT_Workbench,12.5,1702.2500000037253,0.7343,ID_Uncommon_CopperBar
LIT_Workbench,5.0,1702.2500000037253,0.2937,ID_Rare_WhaleOil
LIT_Workbench,5.0,1702.2500000037253,0.2937,ID_Rare_Steelband
LIT_Workbench,5.0,1702.2500000037253,0.2937,ID_Rare_LeatherTrimmings
LIT_Workbench,5.0,1702.2500000037253,0.2937,ID_Rare_ColdIron
LIT_Workbench,5.0,1702.2500000037253,0.2937,ID_Rare_BlacksmithsTongs
LIT_Workbench,5.0,1702.2500000037253,0.2937,ID_Rare_BlackenedStriker
LIT_Workbench,2.5,1702.2500000037253,0.1469,ID_Rare_PolishedFiringPin
LIT_Workbench,1.0,1702.2500000037253,0.0587,ID_Epic_OreSilver
LIT_Workbench,1.0,1702.2500000037253,0.0587,ID_Epic_OiledSpring
LIT_Workbench,1.0,1702.2500000037253,0.0587,ID_Epic_OiledSpring
LIT_Workbench,1.0,1702.2500000037253,0.0587,ID_Epic_FineFile
LIT_Workbench,1.0,1702.2500000037253,0.0587,ID_Epic_Ebony
LIT_Workbench,1.0,1702.2500000037253,0.0587,ID_Epic_ConvexGlass
LIT_Workbench,0.5,1702.2500000037253,0.0294,ID_Epic_SilverBar
LIT_Workbench,0.5,1702.2500000037253,0.0294,ID_Common_LockspringSteel
LIT_Workbench,0.1,1702.2500000037253,0.0059,ID_Legendary_OreGold
LIT_Workbench,0.1,1702.2500000037253,0.0059,ID_Legendary_DamascusSteel
LIT_Workbench,0.05,1702.2500000037253,0.0029,ID_Legendary_GoldBar
LIT_Womb_01,50.0,100.0,50.0000,ID_Trophy_Womb
LIT_Womb_01,50.0,100.0,50.0000,ID_Trophy_Cherub
LIT_WarAxeRecipe_Rare_Loose,75.0,100.0,75.0000,ID_Money_Copper
LIT_WarAxeRecipe_Rare_Loose,15.0,100.0,15.0000,ID_Money_Silver
LIT_WarAxeRecipe_Rare_Loose,10.0,100.0,10.0000,ID_Rec_Weap_Waraxe
LIT_Waif_01,100.0,100.0,100.0000,ID_Trophy_Waif
LIT_VoltigeursBarrel_Loose,79.0,100.0,79.0000,ID_Money_Copper
LIT_VoltigeursBarrel_Loose,15.0,100.0,15.0000,ID_Money_Silver
LIT_VoltigeursBarrel_Loose,5.0,100.0,5.0000,ID_Rec_C_BackBag_Uncommon03_Epic01
LIT_VoltigeursBarrel_Loose,1.0,100.0,1.0000,ID_Money_Gold
LIT_VolantRecipe_Uncommon_Loose,70.0,100.0,70.0000,ID_Money_Copper
