TableName,Weight,WeightSum,WeightPercent,ObjectName,DisplayName,Rarity
LIT_Workbench,100.0,1702.2500000037253,5.8746,ID_Common_Whetstone,Whetstone,
LIT_Workbench,100.0,1702.2500000037253,5.8746,ID_Common_SpindlePulley,Spindle Pulley,
LIT_Workbench,100.0,1702.2500000037253,5.8746,ID_Common_Saltpetre,Saltpetre,
LIT_Workbench,100.0,1702.2500000037253,5.8746,ID_Common_RustedKeyring,Rusted Keyring,
LIT_Workbench,100.0,1702.2500000037253,5.8746,ID_Common_PineOil,Pine Oil,
LIT_Workbench,100.0,1702.2500000037253,5.8746,ID_Common_OldHorseshoe,Old Horseshoe,
LIT_Workbench,100.0,1702.2500000037253,5.8746,ID_Common_OldGunpowder,Old Gunpowder,
LIT_Workbench,100.0,1702.2500000037253,5.8746,ID_Common_LeadOre,Lead Ore,
LIT_Workbench,100.0,1702.2500000037253,5.8746,ID_Common_LatchHook,Latch Hook,
LIT_Workbench,100.0,1702.2500000037253,5.8746,ID_Common_IronNails,Iron Nails,
LIT_Workbench,100.0,1702.2500000037253,5.8746,ID_Common_ChippedFlint,Chipped Flint,
LIT_Workbench,100.0,1702.2500000037253,5.8746,ID_Common_Chalkstone,Chalkstone,
LIT_Workbench,100.0,1702.2500000037253,5.8746,ID_Common_Brassplate,Brass Plate,
LIT_Workbench,100.0,1702.2500000037253,5.8746,ID_Common_BoiledLeather,Boiled Leather,
LIT_Workbench,50.0,1702.2500000037253,2.9373,ID_Common_SharpScrews,Sharp Screws,
LIT_Workbench,50.0,1702.2500000037253,2.9373,ID_Common_LeadBar,Lead Bar,
LIT_Workbench,25.0,1702.2500000037253,1.4686,ID_Uncommon_TentPeg,Tent Peg,Rarity.Uncommon
LIT_Workbench,25.0,1702.2500000037253,1.4686,ID_Uncommon_TannedHide,Tanned Hide,Rarity.Uncommon
LIT_Workbench,25.0,1702.2500000037253,1.4686,ID_Uncommon_IronFile,Iron File,Rarity.Uncommon
LIT_Workbench,25.0,1702.2500000037253,1.4686,ID_Uncommon_IntactLeatherGasket,Intact Leather Gasket,Rarity.Uncommon
LIT_Workbench,25.0,1702.2500000037253,1.4686,ID_Uncommon_CopperOre,Copper Ore,Rarity.Uncommon
LIT_Workbench,25.0,1702.2500000037253,1.4686,ID_Uncommon_BeltStrap,Belt Strap,Rarity.Uncommon
LIT_Workbench,12.5,1702.2500000037253,0.7343,ID_Uncommon_CopperBar,Copper Bar,Rarity.Uncommon
LIT_Workbench,5.0,1702.2500000037253,0.2937,ID_Rare_WhaleOil,Whale Oil,Rarity.Rare
LIT_Workbench,5.0,1702.2500000037253,0.2937,ID_Rare_Steelband,Steelband,Rarity.Rare
LIT_Workbench,5.0,1702.2500000037253,0.2937,ID_Rare_LeatherTrimmings,Leather Trimmings,Rarity.Rare
LIT_Workbench,5.0,1702.2500000037253,0.2937,ID_Rare_ColdIron,Cold Iron,Rarity.Rare
LIT_Workbench,5.0,1702.2500000037253,0.2937,ID_Rare_BlacksmithsTongs,Blacksmith's Tongs,Rarity.Rare
LIT_Workbench,5.0,1702.2500000037253,0.2937,ID_Rare_BlackenedStriker,Blackened Striker,Rarity.Rare
LIT_Workbench,2.5,1702.2500000037253,0.1469,ID_Rare_PolishedFiringPin,Polished Firing Pin,Rarity.Rare
LIT_Workbench,1.0,1702.2500000037253,0.0587,ID_Epic_OreSilver,Silver Ore,Rarity.Epic
LIT_Workbench,1.0,1702.2500000037253,0.0587,ID_Epic_OiledSpring,Oiled Spring,Rarity.Epic
LIT_Workbench,1.0,1702.2500000037253,0.0587,ID_Epic_OiledSpring,Oiled Spring,Rarity.Epic
LIT_Workbench,1.0,1702.2500000037253,0.0587,ID_Epic_FineFile,Fine File,Rarity.Epic
LIT_Workbench,1.0,1702.2500000037253,0.0587,ID_Epic_Ebony,Ebony,Rarity.Epic
LIT_Workbench,1.0,1702.2500000037253,0.0587,ID_Epic_ConvexGlass,Convex Glass,Rarity.Epic
LIT_Workbench,0.5,1702.2500000037253,0.0294,ID_Epic_SilverBar,Silver Bar,Rarity.Epic
LIT_Workbench,0.5,1702.2500000037253,0.0294,ID_Common_LockspringSteel,Lockspring Steel,Rarity.Epic
LIT_Workbench,0.1,1702.2500000037253,0.0059,ID_Legendary_OreGold,Gold Ore,Rarity.Legendary
LIT_Workbench,0.1,1702.2500000037253,0.0059,ID_Legendary_DamascusSteel,Damascus Steel,Rarity.Legendary
LIT_Workbench,0.05,1702.2500000037253,0.0029,ID_Legendary_GoldBar,Gold Bar,Rarity.Legendary
LIT_Womb_01,50.0,100.0,50.0000,ID_Trophy_Womb,Womb Slop,Rarity.Rare
LIT_Womb_01,50.0,100.0,50.0000,ID_Trophy_Cherub,Cherub Umbilical,Rarity.Uncommon
LIT_WarAxeRecipe_Rare_Loose,75.0,100.0,75.0000,ID_Money_Copper,Copper Coin,Rarity.Uncommon
LIT_WarAxeRecipe_Rare_Loose,15.0,100.0,15.0000,ID_Money_Silver,Silver Coin,Rarity.Rare
LIT_WarAxeRecipe_Rare_Loose,10.0,100.0,10.0000,ID_Rec_Weap_Waraxe,Metallurgist Recipe - WarAxe,Rarity.Epic
LIT_Waif_01,100.0,100.0,100.0000,ID_Trophy_Waif,Waif Head,Rarity.Uncommon
LIT_VoltigeursBarrel_Loose,79.0,100.0,79.0000,ID_Money_Copper,Copper Coin,Rarity.Uncommon
LIT_VoltigeursBarrel_Loose,15.0,100.0,15.0000,ID_Money_Silver,Silver Coin,Rarity.Rare
LIT_VoltigeursBarrel_Loose,5.0,100.0,5.0000,ID_Rec_C_BackBag_Uncommon03_Epic01,Voltigeur's Barrel - Leather Barrel Bag,Rarity.Epic
LIT_VoltigeursBarrel_Loose,1.0,100.0,1.0000,ID_Money_Gold,Gold Coin,Rarity.Epic
LIT_VolantRecipe_Uncommon_Loose,70.0,100.0,70.0000,ID_Money_Copper,Copper Coin,Rarity.Uncommon
LIT_VolantRecipe_Uncommon_Loose,15.0,100.0,15.0000,ID_Rec_Weap_Volant,Gunsmith Recipe - Volant,Rarity.Rare
LIT_VolantRecipe_Uncommon_Loose,15.0,100.0,15.0000,ID_Money_Silver,Silver Coin,Rarity.Rare
LIT_Valuables_01,40.0,140.0,28.5714,ID_Money_Copper,Copper Coin,Rarity.Uncommon
LIT_Valuables_01,40.0,140.0,28.5714,ID_Key_Bronze,Bronze Key,Rarity.Uncommon
LIT_Valuables_01,20.0,140.0,14.2857,ID_Money_Silver,Silver Coin,Rarity.Rare
LIT_Valuables_01,20.0,140.0,14.2857,ID_Key_Silver,Silver Key,Rarity.Rare
LIT_Valuables_01,10.0,140.0,7.1429,ID_Money_Gold,Gold Coin,Rarity.Epic
LIT_Valuables_01,10.0,140.0,7.1429,ID_Key_Gold,Gold Key,Rarity.Epic
LIT_ValuablesBox_01a,25.0,161.7000000104308,15.4607,ID_Uncommon_TarnishedSpoon,Tarnished Spoon,Rarity.Uncommon
LIT_ValuablesBox_01a,25.0,161.7000000104308,15.4607,ID_Uncommon_RedOchre,Red Ochre,Rarity.Uncommon
LIT_ValuablesBox_01a,25.0,161.7000000104308,15.4607,ID_Uncommon_PreciousBox,Precious Box,Rarity.Uncommon
LIT_ValuablesBox_01a,25.0,161.7000000104308,15.4607,ID_Uncommon_PowderTin,Powder Tin,Rarity.Uncommon
LIT_ValuablesBox_01a,25.0,161.7000000104308,15.4607,ID_Uncommon_DankTobacco,Dank Tobacco,Rarity.Uncommon
LIT_ValuablesBox_01a,5.0,161.7000000104308,3.0921,ID_Rare_Smokesilver,Smokesilver,Rarity.Rare
LIT_ValuablesBox_01a,5.0,161.7000000104308,3.0921,ID_Rare_ShinyBuckle,Shiny Buckle,Rarity.Rare
LIT_ValuablesBox_01a,5.0,161.7000000104308,3.0921,ID_Rare_RefinedTobacco,Refined Tobacco,Rarity.Rare
LIT_ValuablesBox_01a,5.0,161.7000000104308,3.0921,ID_Rare_NacreButton,Nacre Button,Rarity.Rare
LIT_ValuablesBox_01a,5.0,161.7000000104308,3.0921,ID_Rare_DelicateChain,Delicate Chain,Rarity.Rare
LIT_ValuablesBox_01a,1.0,161.7000000104308,0.6184,ID_Epic_WhitePearl,White Pearl,Rarity.Epic
LIT_ValuablesBox_01a,1.0,161.7000000104308,0.6184,ID_Epic_UncutGems,Uncut Gems,Rarity.Epic
LIT_ValuablesBox_01a,1.0,161.7000000104308,0.6184,ID_Epic_UncutDiamonds,Uncut Diamonds,Rarity.Epic
LIT_ValuablesBox_01a,1.0,161.7000000104308,0.6184,ID_Epic_Tortoiseshell,Tortoise Shell,Rarity.Epic
LIT_ValuablesBox_01a,1.0,161.7000000104308,0.6184,ID_Epic_Serpentstone,Serpentstone,Rarity.Epic
LIT_ValuablesBox_01a,1.0,161.7000000104308,0.6184,ID_Epic_RosaryBeads,Rosary Beads,Rarity.Epic
LIT_ValuablesBox_01a,1.0,161.7000000104308,0.6184,ID_Epic_Pinchbeck,Pinchbeck,Rarity.Epic
LIT_ValuablesBox_01a,1.0,161.7000000104308,0.6184,ID_Epic_Gunblue,Gunblue,Rarity.Epic
LIT_ValuablesBox_01a,1.0,161.7000000104308,0.6184,ID_Epic_Bloodstone,Bloodstone,Rarity.Epic
LIT_ValuablesBox_01a,1.0,161.7000000104308,0.6184,ID_Epic_Baleen,Baleen,Rarity.Epic
LIT_ValuablesBox_01a,1.0,161.7000000104308,0.6184,ID_Epic_AmberPearl,Amber Pearl,Rarity.Epic
